"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Al Hairston",42,NA,294,41,122,NA,NA,41,122,9,15,NA,NA,41,44,NA,NA,NA,38,91
"Al Harrington",1132,579,33118,6055,13613,1275,3541,4780,10072,2606,3567,1745,4688,6433,1900,1011,292,2168,3565,15991
"Al Henry",49,NA,447,69,162,NA,NA,69,162,56,80,NA,NA,148,8,NA,NA,NA,43,194
"Al Horford",990,980,31832,5567,10841,690,1884,4877,8957,1540,2029,1982,6033,8015,3251,784,1166,1461,2198,13364
"Al Jackson",2,NA,17,0,3,NA,NA,0,3,0,0,NA,NA,0,1,NA,NA,NA,6,0
"Al Jefferson",915,651,26299,6161,12344,8,66,6153,12278,2013,2833,2054,5636,7690,1347,628,1093,1211,2347,14343
"Al Lucas",2,NA,NA,1,3,NA,NA,1,3,0,0,NA,NA,NA,2,NA,NA,NA,0,2
"Al Lujack",5,NA,NA,1,8,NA,NA,1,8,2,5,NA,NA,NA,0,NA,NA,NA,6,4
"Al Masino",126,NA,2135,186,524,NA,NA,186,524,188,302,NA,NA,233,204,NA,NA,NA,340,560
"Al Miksis",8,NA,NA,5,21,NA,NA,5,21,17,21,NA,NA,NA,4,NA,NA,NA,22,27
"Al Negratti",11,NA,NA,13,69,NA,NA,13,69,5,8,NA,NA,NA,5,NA,NA,NA,20,31
"Al Roges",101,NA,2339,266,736,NA,NA,266,736,160,227,NA,NA,261,198,NA,NA,NA,217,692
"Al Salvadori",17,NA,186,21,58,1,1,20,57,11,16,NA,NA,46,4,NA,NA,12,28,54
"Al Sanders",4,NA,25,2,2,0,0,2,2,4,6,0,5,5,0,NA,NA,3,4,8
"Al Skinner",459,NA,9509,1469,3261,NA,NA,1466,3250,1028,1261,438,972,1410,1162,433,162,NA,1355,3969
"Al Smith",337,NA,8971,1185,2908,111,380,1074,2528,817,1057,261,604,865,1793,NA,NA,927,1071,3298
"Al Thornton",442,236,11736,1893,4136,93,323,1800,3813,976,1307,564,1176,1740,505,265,199,590,1120,4855
"Al Tucker",497,NA,10182,1946,4251,NA,NA,1913,4162,858,1197,NA,NA,2345,454,NA,NA,NA,1084,4783
"Al Williams",11,NA,70,19,43,0,0,19,43,5,10,9,17,26,5,NA,NA,7,13,43
"Al Wood",465,251,10869,2159,4635,43,214,2116,4421,995,1262,510,886,1396,800,341,168,640,1052,5356
"Al-Farouq Aminu",734,459,18132,1986,4740,551,1671,1435,3069,929,1243,1004,3386,4390,910,697,406,891,1331,5452
"Alaa Abdelnaby",385,105,5017,983,1940,0,6,983,1934,333,472,446,851,1297,125,111,107,389,777,2299
"Alan Anderson",330,66,6793,843,2084,331,963,512,1121,404,495,151,563,714,371,182,31,290,602,2421
"Alan Hardy",60,NA,421,84,195,0,5,84,190,25,39,22,31,53,23,10,13,31,45,193
