"player","g","gs","mp","fg","fga","x3p","x3pa","x2p","x2pa","ft","fta","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Chris Silva",94,0,712,84,140,2,5,82,135,79,109,100,152,252,49,11,35,68,173,249
"Chris Singleton",148,62,2605,233,620,58,182,175,438,88,139,112,360,472,92,117,57,100,325,612
"Chris Smith",226,39,3958,425,976,59,161,366,815,231,324,61,230,291,627,118,56,219,346,1140
"Chris Taft",17,0,144,23,38,0,0,23,38,1,6,19,17,36,2,2,7,2,25,47
"Chris Washburn",109,2,905,129,307,0,1,129,306,54,113,92,159,251,28,16,24,73,109,312
"Chris Webber",959,954,35038,8036,16946,283,938,7753,16008,2817,4294,2525,6648,9173,4032,1351,1294,2602,3057,19172
"Chris Welp",136,6,1371,163,375,0,1,163,374,98,141,106,207,313,52,40,62,81,317,424
"Chris Whitney",630,186,11104,1351,3459,602,1692,749,1767,789,906,100,782,882,1758,380,34,690,1076,4093
"Chris Wilcox",767,291,15052,2542,4704,0,24,2542,4680,1139,1767,1184,2579,3763,554,381,296,852,1837,6223
"Chris Wright",35,1,316,45,82,0,1,45,81,30,46,29,36,65,9,14,18,14,39,120
"Christian Braun",46,2,632,68,145,16,47,52,98,16,27,29,65,94,26,14,10,19,50,168
"Christian Eyenga",58,18,1151,142,356,27,97,115,259,26,44,35,116,151,45,40,38,53,92,337
"Christian Koloko",42,19,628,59,119,1,9,58,110,35,53,67,69,136,20,10,45,18,105,154
"Christian Laettner",1020,811,29918,4755,9863,105,405,4650,9458,3451,4204,1923,4786,6709,2545,1059,792,2256,3286,13066
"Christian Wood",285,141,6718,1495,2863,359,945,1136,1918,750,1099,411,1646,2057,378,164,253,422,534,4099
"Chubby Cox",7,0,78,13,37,0,2,13,35,3,6,7,3,10,6,0,1,9,16,29
"Chuck Aleksinas",74,4,1114,161,337,0,1,161,336,55,75,87,183,270,36,15,15,72,171,377
"Chuck Connors",53,NA,NA,99,393,NA,NA,99,393,41,87,NA,NA,NA,41,NA,NA,NA,134,239
"Chuck Cooper",476,NA,NA,1034,3058,NA,NA,1034,3058,959,1289,NA,NA,2670,823,NA,NA,NA,1336,3027
"Chuck Gardner",42,NA,487,71,175,0,4,71,171,55,79,NA,NA,136,13,NA,NA,52,74,197
"Chuck Gilmur",239,NA,NA,511,1571,NA,NA,511,1571,370,608,NA,NA,NA,348,NA,NA,NA,896,1392
"Chuck Grigsby",7,NA,45,7,19,NA,NA,7,19,2,8,NA,NA,11,7,NA,NA,NA,9,16
"Chuck Hayes",705,245,12569,1103,2234,0,15,1103,2219,336,535,1188,2265,3453,816,512,249,494,1580,2542
"Chuck Lloyd",14,NA,118,23,51,0,0,23,51,20,30,14,11,25,6,NA,NA,2,25,66
"Chuck Mencel",141,NA,2821,363,1063,NA,NA,363,1063,257,336,NA,NA,347,333,NA,NA,NA,169,983
"Chuck Mrazovich",25,NA,NA,28,80,NA,NA,28,80,29,48,NA,NA,40,13,NA,NA,NA,52,85
"Chuck Nevitt",184,0,952,114,269,0,0,114,269,72,116,95,176,271,26,22,130,92,246,300
"Chuck Noble",411,NA,9212,1362,3937,NA,NA,1362,3937,552,755,NA,NA,1075,1344,NA,NA,NA,1128,3276
"Chuck Osborne",4,NA,21,1,8,NA,NA,1,8,3,4,NA,NA,9,1,NA,NA,NA,3,5
"Chuck Person",943,622,28941,5576,12176,1220,3370,4356,8806,1486,2056,1162,3601,4763,2645,683,197,1952,2565,13858
"Chuck Share",705,NA,15250,1809,4549,NA,NA,1809,4549,2045,2959,NA,NA,5762,951,NA,NA,NA,2458,5663
"Chuck Terry",341,NA,5049,563,1345,NA,NA,553,1314,162,209,NA,NA,818,262,NA,NA,NA,641,1298
"Chuck Williams",793,NA,21637,3008,6531,NA,NA,2988,6464,2195,2782,565,1275,1840,3558,NA,NA,NA,1613,8231
"Chuckie Williams",22,NA,65,14,47,NA,NA,14,47,9,12,3,1,4,7,1,0,NA,7,37
"Chucky Atkins",864,390,20973,2931,7192,1127,3137,1804,4055,1188,1534,231,1192,1423,2876,563,42,1220,1565,8177
"Chucky Brown",895,299,14585,2038,4192,25,119,2013,4073,814,1177,780,1819,2599,680,278,270,638,1476,4915
"Chuma Okeke",133,46,3274,383,986,185,572,198,414,101,126,110,494,604,245,156,73,104,177,1052
"Cincinnatus Powell",599,NA,18636,3823,8098,31,113,3792,7985,2069,2855,NA,NA,4582,1330,NA,NA,1480,1978,9746
"CJ Elleby",88,28,1366,146,374,44,160,102,214,71,99,77,182,259,97,41,22,61,143,407
"CJ McCollum",698,601,22389,5257,11581,1685,4270,3572,7311,1490,1870,461,2053,2514,2626,642,273,1277,1456,13689
"Clarence Brookins",8,NA,59,8,26,0,1,8,25,5,12,8,4,12,1,NA,NA,0,5,21
"Clarence Glover",25,NA,119,25,55,NA,NA,25,55,15,32,NA,NA,46,4,NA,NA,NA,26,65
"Clarence Kea",51,NA,447,63,130,0,1,63,129,72,104,54,74,128,19,10,4,32,99,198
"Clarence Weatherspoon",1046,662,30929,4397,9356,10,52,4387,9304,2676,3610,2398,5246,7644,1465,995,883,1584,2297,11480
"Clark Kellogg",260,241,8514,2008,4041,23,68,1985,3973,879,1161,852,1630,2482,764,381,105,731,858,4918
"Claude English",18,NA,70,11,42,NA,NA,11,42,5,7,NA,NA,20,6,NA,NA,NA,15,27
"Claude Gregory",25,2,315,62,136,0,1,62,135,12,36,39,58,97,16,10,13,24,38,136
"Claude Overton",15,NA,182,19,75,NA,NA,19,75,20,30,NA,NA,25,15,NA,NA,NA,25,58
"Claude Terry",394,NA,4848,875,1854,NA,NA,828,1715,365,463,197,348,545,515,NA,NA,NA,483,2162
"Claude Virden",31,NA,825,130,327,0,2,130,325,46,59,49,105,154,74,24,2,49,84,306
"Clay Johnson",80,0,688,84,205,1,3,83,202,55,76,54,39,93,45,33,9,44,99,224
"Cleanthony Early",56,9,801,88,254,26,99,62,155,39,52,26,97,123,42,26,15,49,73,241
"Clem Haskins",681,NA,17624,3515,7824,NA,NA,3515,7824,1713,2163,NA,NA,2087,2382,NA,NA,NA,1504,8743
"Clemon Johnson",844,NA,15224,1998,4035,NA,NA,1998,4029,815,1314,1466,2566,4032,883,416,809,891,1887,4811
"Cleo Hill",58,NA,1050,107,309,NA,NA,107,309,106,137,NA,NA,178,114,NA,NA,NA,98,320
"Cleveland Buckner",68,NA,723,163,377,NA,NA,163,377,85,137,NA,NA,240,44,NA,NA,NA,120,411
"Cliff Alexander",8,0,36,5,10,0,0,5,10,0,0,2,4,6,0,1,2,1,1,10
"Cliff Anderson",112,NA,801,93,271,NA,NA,93,271,153,250,NA,NA,155,92,NA,NA,NA,137,339
"Cliff Barker",149,NA,NA,201,637,NA,NA,201,637,155,234,NA,NA,NA,294,NA,NA,NA,253,557
"Cliff Hagan",839,NA,24074,5750,12661,NA,NA,5750,12656,3370,4219,NA,NA,5555,2646,NA,NA,NA,2665,14870
"Cliff Levingston",830,216,16962,2333,4524,5,33,2328,4491,1217,1800,1772,2535,4307,752,534,593,829,2299,5888
"Cliff Meely",352,NA,6642,1173,2819,NA,NA,1173,2819,449,664,NA,NA,1800,417,NA,NA,NA,990,2795
"Cliff Pondexter",197,NA,2856,300,722,NA,NA,300,722,178,267,226,521,747,218,81,52,NA,282,778
"Cliff Robinson",697,NA,21459,5011,10739,7,42,5004,10697,2052,2846,1537,4309,5846,1369,743,544,1720,2092,12081
"Cliff Williams",3,NA,18,2,9,NA,NA,2,9,0,0,NA,NA,3,2,NA,NA,NA,7,4
"Clifford Lett",11,0,127,16,37,0,1,16,36,6,9,1,6,7,8,2,1,10,17,38
"Clifford Ray",784,NA,19940,2333,4450,NA,NA,2333,4448,1155,1963,NA,NA,6953,1728,NA,NA,NA,2618,5821
"Clifford Robinson",1451,873,44250,7591,17398,1320,3708,6271,13690,3622,5262,1906,4609,6515,3198,1464,1443,2568,4356,20124
"Clifford Rozier",215,93,3721,429,879,2,13,427,866,156,330,478,653,1131,129,102,157,191,532,1016
"Clint Capela",506,443,13564,2742,4384,0,4,2742,4380,794,1496,1817,3608,5425,492,353,758,558,1225,6278
"Clint McDaniel",12,0,71,8,23,2,6,6,17,12,16,3,7,10,7,5,0,2,10,30
"Clint Richardson",586,143,11818,1742,3761,11,45,1731,3716,589,765,533,845,1378,1461,360,105,751,1019,4084
"Clint Wager",63,NA,NA,57,203,NA,NA,57,203,29,47,NA,NA,NA,90,NA,NA,NA,175,143
"Clinton Smith",46,0,386,52,121,0,2,52,119,30,42,28,32,60,49,14,1,27,39,134
"Clinton Wheeler",115,0,1221,152,306,0,2,152,304,55,74,53,49,102,211,90,2,100,89,359
"Clyde Dickey",58,NA,472,71,203,2,15,69,188,16,21,12,49,61,47,14,0,45,46,160
"Clyde Drexler",1162,1025,40265,8906,18911,974,3011,7932,15900,5062,6404,2767,4390,7157,6487,2343,764,3163,3491,23848
"Clyde Lee",822,NA,22341,2432,5650,NA,NA,2432,5650,1340,2165,NA,NA,8383,893,NA,NA,NA,2488,6204
"Clyde Lovellette",704,NA,19075,4784,10795,NA,NA,4784,10795,2379,3141,NA,NA,6663,1097,NA,NA,NA,2289,11947
"Clyde Mayes",83,NA,1052,124,286,NA,NA,124,286,62,111,117,178,295,43,9,50,NA,178,310
"Coby Dietrick",842,NA,16287,2150,4655,NA,NA,2144,4624,834,1134,1192,2580,3772,1740,NA,NA,NA,2336,5140
"Coby Karl",31,2,297,31,90,8,35,23,55,16,22,11,39,50,39,10,4,25,32,86
"Coby White",237,72,6394,1088,2636,501,1374,587,1262,338,400,81,727,808,758,149,36,371,505,3015
"Cody Martin",178,24,3752,390,854,98,308,292,546,146,222,180,448,628,371,168,54,147,259,1024
"Cody Zeller",494,273,10973,1586,3051,32,145,1554,2906,998,1365,994,1955,2949,691,320,321,522,1281,4202
"Cole Aldrich",384,23,3777,479,905,0,0,479,905,192,264,364,887,1251,192,142,256,222,569,1150
"Cole Anthony",145,102,4179,714,1781,228,677,486,1104,407,476,87,633,720,696,97,52,328,354,2063
"Cole Swider",5,0,37,3,9,3,8,0,1,0,0,1,6,7,4,0,0,0,3,9
"Collin Sexton",257,218,8112,1816,3931,366,958,1450,2973,917,1108,221,529,750,827,204,27,609,603,4915
"Collis Jones",298,NA,6231,955,2105,6,28,949,2077,510,727,660,749,1409,338,NA,NA,335,707,2426
"Collis Temple",24,NA,102,17,41,0,1,17,40,8,10,14,17,31,15,4,4,12,29,42
"Conner Henry",186,4,1512,216,572,66,174,150,398,112,148,40,126,166,204,42,12,130,142,610
"Connie Dierking",828,NA,17505,3210,7740,NA,NA,3210,7740,1521,2208,NA,NA,5426,1185,NA,NA,NA,2354,7941
"Connie Hawkins",695,NA,24993,4548,9454,NA,NA,4543,9423,3426,4405,NA,NA,6015,2963,NA,NA,NA,2096,12527
"Connie Norman",99,NA,1213,277,631,NA,NA,277,631,41,50,67,78,145,94,41,11,NA,131,595
"Connie Rea",20,NA,154,9,43,NA,NA,9,43,5,16,NA,NA,31,16,NA,NA,NA,13,23
"Connie Simmons",679,NA,NA,2479,7140,NA,NA,2479,7140,1633,2433,NA,NA,NA,1025,NA,NA,NA,2074,6591
"Corey Beck",112,14,1131,111,245,4,6,107,239,60,91,42,111,153,143,52,11,100,160,286
"Corey Benjamin",153,16,2191,317,812,57,197,260,615,144,221,84,175,259,143,71,48,164,316,835
"Corey Brewer",1153,383,25349,3562,8394,668,2393,2894,6001,1676,2339,851,2304,3155,1713,1409,298,1291,2435,9468
"Corey Crowder",58,0,357,45,122,13,34,32,88,17,24,17,27,44,18,8,2,15,36,120
"Corey Gaines",80,10,1002,92,217,11,48,81,169,53,72,12,57,69,247,39,4,72,98,248
"Corey Kispert",119,64,2954,373,806,191,508,182,298,101,117,72,255,327,144,61,27,83,151,1038
"Corey Maggette",827,478,23358,4065,8969,463,1431,3602,7538,4605,5599,915,3107,4022,1696,590,139,1874,2338,13198
"Corey Williams",39,0,288,36,98,1,4,35,94,19,23,20,17,37,29,6,2,13,30,92
"Corie Blount",808,89,12810,1240,2685,5,38,1235,2647,460,788,1422,2094,3516,586,438,328,656,1749,2945
"Corky Calhoun",612,NA,12279,1332,2927,NA,NA,1332,2927,554,711,NA,NA,2231,680,NA,NA,NA,1502,3218
"Corky Devlin",210,NA,4025,560,1532,NA,NA,560,1532,376,507,NA,NA,449,446,NA,NA,NA,337,1496
"Corliss Williamson",963,342,21962,4201,8586,6,48,4195,8538,2281,3191,1428,2335,3763,1111,550,297,1512,2653,10689
"Cornelius Cash",6,NA,49,9,23,NA,NA,9,23,3,6,8,8,16,1,2,1,NA,8,21
"Cornell Warner",589,NA,13283,1538,3400,NA,NA,1538,3400,624,918,NA,NA,4272,637,NA,NA,NA,1607,3700
"Corny Thompson",44,2,520,43,137,0,0,43,137,36,46,41,79,120,34,12,7,31,92,122
"Corsley Edwards",10,0,110,10,31,0,0,10,31,7,12,12,13,25,3,3,4,2,19,27
"Cory Alexander",367,57,6145,758,1908,303,845,455,1063,346,454,95,532,627,1043,333,48,579,612,2165
"Cory Blackwell",60,0,551,87,237,0,2,87,235,28,55,42,54,96,26,25,3,44,55,202
"Cory Carr",42,7,624,71,216,5,30,66,186,24,32,8,41,49,66,21,7,46,66,171
"Cory Higgins",44,0,455,58,179,5,25,53,154,43,62,8,30,38,41,8,6,39,45,164
"Cory Jefferson",58,1,581,84,189,2,16,82,173,35,60,53,108,161,16,10,22,20,69,205
"Cory Joseph",827,188,18171,2253,5073,469,1372,1784,3701,870,1103,414,1677,2091,2516,638,188,868,1383,5845
"Cotton Nash",129,NA,1500,200,595,NA,NA,200,594,207,266,NA,NA,356,84,NA,NA,NA,177,607
"Coty Clarke",3,0,6,2,4,2,2,0,2,0,0,0,1,1,0,0,0,1,0,6
"Coulby Gunther",84,NA,NA,311,937,NA,NA,311,937,271,422,NA,NA,NA,65,NA,NA,NA,181,893
"Courtney Alexander",252,83,5449,894,2125,58,167,836,1958,462,567,166,386,552,289,156,23,278,516,2308
"Courtney Fortson",20,0,190,22,64,6,26,16,38,20,30,12,18,30,20,6,0,20,10,70
"Courtney Lee",1003,636,26673,3599,7949,1046,2725,2553,5224,1179,1385,431,2142,2573,1641,980,272,921,1632,9423
"Courtney Sims",7,0,37,6,13,0,0,6,13,0,0,5,5,10,1,0,0,2,4,12
"Cozell McQueen",3,0,7,3,3,0,0,3,3,0,0,3,5,8,0,0,1,0,1,6
"Craig Brackins",17,1,121,13,49,3,14,10,35,1,2,7,12,19,9,1,1,4,9,30
"Craig Dill",65,NA,1354,187,488,0,3,187,485,71,106,NA,NA,378,31,NA,NA,64,164,445
"Craig Dykema",32,0,103,17,37,2,4,15,33,7,9,3,9,12,15,2,0,7,19,43
"Craig Ehlo",873,321,21071,2977,6579,621,1684,2356,4895,917,1330,996,2143,3139,2456,989,232,1225,1695,7492
"Craig Hodges",820,262,17726,2808,6082,724,1763,2084,4319,758,914,348,756,1104,2068,642,32,949,1576,7098
"Craig Neal",116,0,1125,104,281,23,77,81,204,41,68,16,58,74,273,52,8,127,166,272
"Craig Raymond",335,NA,7216,1064,2323,NA,NA,1064,2317,526,835,NA,NA,2379,488,NA,NA,NA,874,2654
"Craig Shelton",59,NA,607,102,225,0,1,102,224,36,60,60,81,141,27,19,5,61,131,240
"Craig Smith",403,49,6826,1221,2207,1,27,1220,2180,637,963,543,1024,1567,322,183,91,413,957,3080
"Craig Spitzer",10,NA,44,8,21,NA,NA,8,21,2,3,NA,NA,24,0,NA,NA,NA,4,18
"Craig Sword",3,0,19,3,4,0,1,3,3,0,0,0,0,0,1,4,0,1,7,6
"Cristiano Felício",252,20,3554,431,754,0,14,431,740,216,321,381,611,992,183,72,50,155,358,1078
"Cuonzo Martin",7,0,32,3,12,3,5,0,7,0,2,2,1,3,3,1,0,2,2,9
"Curly Armstrong",153,NA,NA,347,1176,NA,NA,347,1176,346,500,NA,NA,NA,358,NA,NA,NA,466,1040
"Curtis Borchardt",83,23,1117,96,228,0,1,96,227,66,89,99,179,278,64,14,46,70,200,258
"Curtis Kitchen",6,0,31,3,6,0,1,3,5,3,4,4,5,9,1,2,3,0,4,9
"Curtis Perry",555,NA,15482,2085,4674,NA,NA,2085,4674,846,1220,NA,NA,4832,1006,NA,NA,NA,1931,5016
"Curtis Rowe",590,NA,18277,2821,5847,NA,NA,2821,5847,1231,1756,NA,NA,4264,932,NA,NA,NA,1352,6873
"Cuttino Mobley",813,645,30006,4727,10911,1235,3209,3492,7702,2409,2889,588,2543,3131,2203,952,343,1653,1862,13098
"D.C. Wilcutt",59,NA,NA,42,124,NA,NA,42,124,44,60,NA,NA,NA,80,NA,NA,NA,36,128
"D.J. Augustin",1303,371,29944,3927,9550,1697,4438,2230,5112,2614,3014,366,1987,2353,4920,752,44,1903,1770,12165
"D.J. Kennedy",2,0,59,5,12,2,4,3,8,0,2,1,6,7,3,2,0,3,7,12
"D.J. Mbenga",276,4,1892,219,467,0,2,219,465,59,101,157,266,423,51,44,167,99,356,497
"D.J. Stephens",4,0,22,4,9,0,0,4,9,1,1,1,4,5,0,1,0,1,0,9
"D.J. Strawberry",33,0,270,29,92,6,25,23,67,9,19,9,19,28,30,12,6,11,36,73
"D.J. White",185,11,2796,459,906,1,5,458,901,159,221,160,435,595,99,51,77,79,276,1078
"D.J. Wilson",181,7,2236,312,750,126,381,186,369,80,127,100,464,564,131,51,59,101,219,830
"D'Angelo Russell",519,455,15585,3390,7999,1331,3694,2059,4305,1313,1659,262,1568,1830,2968,575,152,1478,984,9424
"Daequan Cook",377,50,6434,809,2223,468,1323,341,900,165,204,82,682,764,262,128,55,192,504,2251
"Dahntay Jones",702,176,10815,1285,2961,118,374,1167,2587,927,1231,276,907,1183,577,283,150,545,1325,3615
"Dairis Bertāns",12,0,167,12,47,10,34,2,13,0,0,2,7,9,10,1,0,2,7,34
"Daishen Nix",61,2,800,68,184,34,105,34,79,36,59,18,70,88,130,40,3,79,55,206
"DaJuan Summers",83,7,820,103,268,29,79,74,189,43,67,24,58,82,29,18,8,37,104,278
"Dajuan Wagner",103,28,2202,354,967,92,287,262,680,164,213,29,113,142,195,69,14,136,212,964
"Dakari Johnson",31,6,161,22,39,0,0,22,39,11,20,16,18,34,8,6,8,3,27,55
"Dakota Mathias",14,2,139,21,54,10,32,11,22,2,6,1,8,9,14,2,3,1,8,54
"Dalano Banton",86,3,918,127,306,26,94,101,212,40,61,47,109,156,125,40,22,66,92,320
"Dale Davis",1155,891,30913,3704,7013,0,8,3704,7005,1582,2807,3455,5525,8980,1025,723,1335,1133,3040,8990
"Dale Ellis",1302,618,36766,7729,16152,1813,4523,5916,11629,2768,3544,1612,2818,4430,1855,1036,191,1872,2637,20039
"Dale Hamilton",14,NA,NA,8,33,NA,NA,8,33,9,19,NA,NA,NA,17,NA,NA,NA,30,25
"Dale Schlueter",586,NA,9624,1176,2366,NA,NA,1176,2366,778,1147,NA,NA,3034,920,NA,NA,NA,1367,3130
"Dale Wilkinson",24,0,90,8,32,0,2,8,30,12,14,2,6,8,4,0,0,8,20,28
"Dalen Terry",18,0,56,6,16,1,4,5,12,3,4,1,5,6,7,1,2,4,4,16
"Dalibor Bagarić",95,0,973,97,269,0,2,97,267,57,102,84,154,238,37,29,43,72,163,251
"Dallas Comegys",142,27,2241,322,704,0,3,322,701,212,311,166,286,452,95,78,133,201,335,856
"Dallas Thornton",50,NA,870,123,284,2,11,121,273,93,142,43,98,141,74,NA,NA,98,106,341
"Damian Jones",260,85,3758,528,799,14,51,514,748,285,403,284,577,861,196,91,189,174,542,1355
"Damian Lillard",749,749,27200,6076,13855,2299,6172,3777,7683,4215,4717,447,2679,3126,5003,715,233,2114,1443,18666
"Damien Inglis",20,1,156,13,37,3,13,10,24,7,8,2,29,31,10,6,3,11,11,36
"Damien Wilkins",582,150,10991,1344,3157,205,627,1139,2530,711,908,441,921,1362,796,431,130,524,945,3604
"Damion James",39,17,623,61,147,0,6,61,141,28,42,25,106,131,26,23,20,38,56,150
"Damion Lee",268,57,5696,782,1784,358,941,424,843,331,378,126,803,929,387,181,26,219,437,2253
"Damir Markota",30,0,170,19,52,6,16,13,36,7,11,11,20,31,6,3,1,15,22,51
"Damjan Rudež",146,2,1638,175,413,106,284,69,129,24,31,18,74,92,84,31,7,69,143,480
"Damon Jones",736,115,14417,1640,4057,1007,2590,633,1467,397,548,133,1040,1173,1944,288,21,608,745,4684
"Damon Stoudamire",1009,897,32982,4897,12090,1377,3917,3520,8173,2134,2565,810,2645,3455,6116,1096,90,2342,1931,13305
"Damone Brown",39,3,351,43,128,4,14,39,114,18,27,18,34,52,19,5,7,31,44,108
"Damyean Dotson",213,49,4242,603,1446,253,733,350,713,135,190,58,474,532,315,109,20,151,255,1594
"Dan Anderson",297,NA,6491,1038,2190,NA,NA,1038,2190,536,709,696,1171,1867,390,NA,NA,NA,779,2612
"Dan Dickau",414,103,7001,951,2371,274,800,677,1571,551,663,116,495,611,1137,257,15,495,759,2727
"Dan Gadzuric",569,173,8256,1103,2229,0,9,1103,2220,377,764,981,1480,2461,210,255,477,386,1341,2583
"Dan Godfread",11,0,22,5,12,0,1,5,11,3,4,0,2,2,0,1,4,0,5,13
"Dan Hester",84,NA,1110,194,490,10,24,184,466,98,120,166,302,468,70,NA,NA,88,164,496
"Dan Issel",1218,NA,41784,10431,20904,NA,NA,10402,20762,6591,8315,3696,7437,11133,2907,NA,NA,NA,3504,27482
"Dan King",12,NA,103,7,22,NA,NA,7,22,5,10,NA,NA,25,3,NA,NA,NA,5,19
"Dan Kraus",13,NA,NA,5,35,NA,NA,5,35,11,24,NA,NA,NA,7,NA,NA,NA,24,21
"Dan Langhi",139,8,1290,177,454,12,40,165,414,40,64,54,149,203,39,30,12,37,113,406
"Dan Majerle",955,454,30206,3950,9171,1360,3798,2590,5373,1665,2246,1125,3140,4265,2755,1194,360,1116,1927,10925
"Dan McClintock",6,1,58,9,18,0,0,9,18,0,5,10,7,17,1,0,2,3,11,18
"Dan O'Sullivan",51,2,314,30,73,0,1,30,72,29,39,24,47,71,11,5,5,12,49,89
"Dan Roundfield",813,NA,24210,4420,9161,NA,NA,4413,9098,2810,3824,2576,4926,7502,1655,695,1160,NA,2722,11657
"Dan Swartz",39,NA,335,57,150,NA,NA,57,150,61,72,NA,NA,88,21,NA,NA,NA,92,175
"Dan Tieman",29,NA,176,15,57,NA,NA,15,57,4,10,NA,NA,22,27,NA,NA,NA,18,34
"Dana Barros",850,264,19480,3281,7140,1090,2652,2191,4488,1249,1456,232,1377,1609,2837,740,46,1213,1074,8901
"Dana Pagett",5,NA,34,1,9,1,3,0,6,2,3,1,2,3,6,NA,NA,3,8,5
"Dane Suttle",46,1,493,115,227,0,4,115,223,42,49,21,28,49,48,21,0,33,49,272
"Daniel Ewing",127,8,1683,162,416,36,122,126,294,71,91,32,126,158,174,69,10,107,148,431
"Daniel Gafford",271,99,4485,848,1212,0,1,848,1211,357,547,492,729,1221,184,112,365,220,572,2053
"Daniel Gibson",397,77,9316,1065,2646,578,1419,487,1227,407,522,142,650,792,775,243,86,373,811,3115
"Daniel Hamilton",25,3,232,28,71,10,28,18,43,3,6,10,42,52,30,7,1,18,21,69
"Daniel Ochefu",19,0,75,12,27,0,0,12,27,0,2,5,17,22,3,2,0,3,17,24
"Daniel Orton",51,6,542,50,103,0,1,50,102,43,72,48,78,126,24,18,28,29,81,143
"Daniel Oturu",33,0,188,25,58,1,6,24,52,12,17,22,31,53,10,4,9,9,25,63
"Daniel Santiago",122,30,1418,153,326,0,0,153,326,111,162,76,184,260,38,39,47,85,231,417
"Daniel Sparks",67,NA,1190,160,414,0,0,160,414,118,171,147,156,303,45,NA,NA,74,178,438
"Daniel Theis",418,225,8566,1319,2439,240,739,1079,1700,450,635,621,1472,2093,533,210,350,367,1093,3328
"Danilo Gallinari",790,623,23884,3719,8716,1529,4025,2190,4691,3330,3804,560,3255,3815,1518,587,289,968,1449,12297
"Danny Ainge",1115,562,30132,5123,10956,1118,2956,4005,8000,1881,2220,766,2257,3023,4601,1226,140,1711,2735,13245
"Danny Doyle",4,NA,25,6,12,NA,NA,6,12,4,5,NA,NA,8,3,NA,NA,NA,4,16
"Danny Ferry",917,186,18133,2505,5615,677,1724,1828,3891,752,895,647,1903,2550,1185,384,292,811,1964,6439
"Danny Finn",142,NA,3397,382,1169,NA,NA,382,1169,278,464,NA,NA,548,566,NA,NA,NA,453,1042
"Danny Fortson",440,175,8832,1196,2534,2,12,1194,2522,1221,1556,1195,1989,3184,301,182,94,655,1553,3615
"Danny Granger",627,433,19334,3448,7979,1049,2772,2399,5207,2248,2644,705,2316,3021,1138,573,498,1144,1690,10193
"Danny Green",819,709,20743,2524,5996,1561,3908,963,2088,534,664,498,2313,2811,1270,846,631,815,1437,7143
"Danny Manning",951,464,26722,5612,11036,44,216,5568,10820,2502,3461,1654,3426,5080,2324,1099,834,2086,3155,13770
"Danny Schayes",1256,483,24622,3364,7061,4,31,3360,7030,3045,3788,2050,4335,6385,1517,624,948,1848,3864,9777
"Danny Vranes",510,246,10624,1056,2131,2,19,1054,2112,499,875,763,1235,1998,594,333,270,519,1368,2613
"Danny Wagner",11,NA,NA,19,54,NA,NA,19,54,31,35,NA,NA,NA,18,NA,NA,NA,22,69
"Danny Young",636,78,10559,1084,2508,217,664,867,1844,517,618,184,600,784,1846,553,41,519,589,2902
"Dante Cunningham",866,238,18074,2154,4613,275,807,1879,3806,449,689,978,2273,3251,597,552,409,436,1515,5032
"Dante Exum",280,73,5030,565,1371,182,590,383,781,236,310,103,405,508,555,114,52,339,467,1548
"Danuel House Jr.",280,107,6214,729,1704,384,1050,345,654,310,407,156,745,901,332,163,108,218,446,2152
"DaQuan Jeffries",78,10,1136,121,282,45,153,76,129,19,22,41,121,162,52,34,21,30,116,306
"Darel Carrier",350,NA,12338,2445,5867,398,1055,2047,4812,1723,2024,NA,NA,1187,896,NA,NA,906,1072,7011
"Darington Hobson",5,0,39,2,13,0,6,2,7,0,0,0,3,3,6,0,0,2,1,4
"Dario Šarić",470,257,11443,1865,4237,653,1815,1212,2422,839,994,699,1965,2664,874,277,92,702,997,5222
"Darius Bazley",218,118,5287,738,1806,227,737,511,1069,320,473,176,1013,1189,268,127,165,278,216,2023
"Darius Garland",225,221,7609,1512,3399,493,1289,1019,2110,582,666,109,479,588,1498,255,22,691,406,4099
"Darius Johnson-Odom",7,0,21,0,11,0,4,0,7,0,2,1,5,6,2,1,0,2,3,0
"Darius Miles",525,246,13809,2239,4726,29,171,2210,4555,861,1443,687,1862,2549,1002,451,556,1022,1191,5368
"Darius Miller",271,28,5358,545,1300,344,898,201,402,163,194,51,396,447,367,123,66,171,523,1597
"Darius Morris",159,17,1777,205,528,59,184,146,344,68,107,47,105,152,233,58,2,139,160,537
"Darius Songaila",495,79,9229,1449,2904,3,19,1446,2885,514,609,553,1136,1689,589,324,106,486,1197,3415
"Darius Washington",18,0,146,21,48,4,12,17,36,7,13,4,16,20,15,5,0,14,16,53
"Darko Miličić",555,227,10090,1415,3040,0,9,1415,3031,464,812,719,1554,2273,493,242,724,659,1239,3294
"Darnell Hillman",760,NA,19575,3049,6392,NA,NA,3044,6362,1410,2266,1935,3829,5764,1059,NA,NA,NA,2781,7513
"Darnell Jackson",166,4,1162,132,304,5,21,127,283,62,96,99,126,225,30,26,15,63,180,331
"Darnell Mee",40,0,293,29,93,6,27,23,66,12,27,17,19,36,18,16,13,18,34,76
"Darnell Valentine",682,374,15612,2154,4948,45,171,2109,4777,1503,1919,383,1060,1443,3326,982,60,1355,1481,5856
"Darrall Imhoff",850,NA,18354,2351,5148,NA,NA,2351,5148,1185,1997,NA,NA,6233,1457,NA,NA,NA,2543,5887
